gene,Relative.Growth.Rate,phenotype,lower,upper,variance,timesAnalysed
PBANKA_121240,0.963987635,Dispensable,0.896268031,1.031707239,0.001146486,1
PBANKA_121260,1.01195573,Dispensable,0.859694207,1.164217253,0.005795893,2
PBANKA_121280,0.1,Essential,NA,NA,Inf,2
PBANKA_121290,0.067006277,Essential,0.010748061,0.123264492,0.000791247,2
PBANKA_121300,0.059933693,Essential,-0.043365705,0.163233092,0.002667691,2
PBANKA_121310,0.055577964,Essential,0.018144264,0.093011664,0.00035032,2
PBANKA_121320,0.847718419,Dispensable,0.660691348,1.03474549,0.008744781,2
PBANKA_121340,0.978145085,Dispensable,0.786695366,1.169594803,0.009163249,1
PBANKA_121370,0.96138028,Dispensable,0.839780124,1.082980436,0.003696649,1
PBANKA_121380,0.601029522,Slow,0.488395771,0.713663273,0.00317159,2
PBANKA_121400,0.099023587,Essential,-0.151971256,0.350018429,0.015749603,2
PBANKA_121410,0.05860691,Essential,0.031399806,0.085814015,0.000185057,2
PBANKA_121420,0.140409364,Essential,-0.00824514,0.289063868,0.00552454,2
PBANKA_121430,0.335446412,Essential,-0.070512167,0.74140499,0.041200592,2
PBANKA_121440,0.984603644,Dispensable,0.86743934,1.101767948,0.003431869,2
PBANKA_121470,0.862550922,Dispensable,0.685846465,1.039255379,0.007806116,1
PBANKA_121510,0.065915101,Essential,0.011606572,0.12022363,0.000737354,2
PBANKA_121540,0.122213911,Essential,-0.175917796,0.420345618,0.022220629,1
